blocksInheritance,displayname,domain,enabled,hasspn,highvalue,lastlogon,name,neo4jImportId,objectid,operatingsystem,owned,pwdlastset,id,labels
,0,TestCompany.Local,,,TRUE,,DOMAIN ADMINS@TestCompany.Local,0,S-1-5-21-883232822-274137685-4173207997-512,,,,0,Group;HighValue
,1,TestCompany.Local,,,,,DOMAIN COMPUTERS@TestCompany.Local,1,S-1-5-21-883232822-274137685-4173207997-515,,,,1,Group
,2,TestCompany.Local,,,,,DOMAIN USERS@TestCompany.Local,2,S-1-5-21-883232822-274137685-4173207997-513,,,,2,Group
,3,TestCompany.Local,,,TRUE,,DOMAIN CONTROLLERS@TestCompany.Local,3,S-1-5-21-883232822-274137685-4173207997-516,,,,3,Group;HighValue
,4,TestCompany.Local,,,TRUE,,ENTERPRISE DOMAIN CONTROLLERS@TestCompany.Local,4,TestCompany.Local-S-1-5-9,,,,4,Group;HighValue
,5,TestCompany.Local,,,,,ENTERPRISE READ-ONLY DOMAIN CONTROLLERS@TestCompany.Local,5,S-1-5-21-883232822-274137685-4173207997-498,,,,5,Group
,6,TestCompany.Local,,,TRUE,,ADMINISTRATORS@TestCompany.Local,6,S-1-5-21-883232822-274137685-4173207997-544,,,,6,Group;HighValue
,7,TestCompany.Local,,,TRUE,,ENTERPRISE ADMINS@TestCompany.Local,7,S-1-5-21-883232822-274137685-4173207997-519,,,,7,Group;HighValue
,8,TestCompany.Local,,,TRUE,,TestCompany.Local,8,,,,,8,Domain;HighValue
,9,TestCompany.Local,,,,,DEFAULT DOMAIN POLICY@TestCompany.Local,9,42ddb54c-6c9e-4e79-9329-15ee39dd3da2,,,,9,GPO
,10,TestCompany.Local,,,,,DEFAULT DOMAIN CONTROLLERS POLICY@TestCompany.Local,10,42ddb54c-6c9e-4e79-9329-15ee39dd3da2,,,,10,GPO
FALSE,11,TestCompany.Local,,,,,DOMAIN CONTROLLERS@TestCompany.Local,11,ecf9f546-4998-4152-aa5a-d8a20e26c78e,,,,11,OU
,12,TestCompany.Local,,,,,DEFAULT DOMAIN CONTROLLERS POLICY@$domain,12,,,,,12,GPO
,13,TestCompany.Local,TRUE,,,,COMP00001.TestCompany.Local,13,S-1-5-21-883232822-274137685-4173207997-1000,Windows 10,FALSE,,13,Computer
,14,TestCompany.Local,TRUE,,,,COMP00002.TestCompany.Local,14,S-1-5-21-883232822-274137685-4173207997-1001,Windows 10,FALSE,,14,Computer
,15,TestCompany.Local,TRUE,,,,COMP00003.TestCompany.Local,15,S-1-5-21-883232822-274137685-4173207997-1002,Windows Server 2008,FALSE,,15,Computer
,16,TestCompany.Local,TRUE,,,,COMP00004.TestCompany.Local,16,S-1-5-21-883232822-274137685-4173207997-1003,Windows Server 2008,FALSE,,16,Computer
,17,TestCompany.Local,TRUE,,,,COMP00005.TestCompany.Local,17,S-1-5-21-883232822-274137685-4173207997-1004,Windows 7,FALSE,,17,Computer
,18,TestCompany.Local,TRUE,,,,COMP00006.TestCompany.Local,18,S-1-5-21-883232822-274137685-4173207997-1005,Windows Server 2008,FALSE,,18,Computer
,19,TestCompany.Local,TRUE,,,,COMP00007.TestCompany.Local,19,S-1-5-21-883232822-274137685-4173207997-1006,Windows 7,FALSE,,19,Computer
